"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"lab.jvm.serialization.SerializationBench.readAnalytics","thrpt",1,24,6075.684676,1752.775200,"ops/s"
"lab.jvm.serialization.SerializationBench.readAnalytics:gc.alloc.rate","thrpt",1,24,749.124977,216.156260,"MB/sec"
"lab.jvm.serialization.SerializationBench.readAnalytics:gc.alloc.rate.norm","thrpt",1,24,129312.644055,0.163955,"B/op"
"lab.jvm.serialization.SerializationBench.readAnalytics:gc.count","thrpt",1,24,245.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.readAnalytics:gc.time","thrpt",1,24,167.000000,NaN,"ms"
"lab.jvm.serialization.SerializationBench.readCustomer","thrpt",1,24,138604.109433,10539.268271,"ops/s"
"lab.jvm.serialization.SerializationBench.readCustomer:gc.alloc.rate","thrpt",1,24,660.777153,50.243737,"MB/sec"
"lab.jvm.serialization.SerializationBench.readCustomer:gc.alloc.rate.norm","thrpt",1,24,5000.025505,0.001891,"B/op"
"lab.jvm.serialization.SerializationBench.readCustomer:gc.count","thrpt",1,24,177.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.readCustomer:gc.time","thrpt",1,24,145.000000,NaN,"ms"
"lab.jvm.serialization.SerializationBench.readOrder","thrpt",1,24,51146.363400,15335.320583,"ops/s"
"lab.jvm.serialization.SerializationBench.readOrder:gc.alloc.rate","thrpt",1,24,544.026373,162.342130,"MB/sec"
"lab.jvm.serialization.SerializationBench.readOrder:gc.alloc.rate.norm","thrpt",1,24,11160.075145,35.555590,"B/op"
"lab.jvm.serialization.SerializationBench.readOrder:gc.count","thrpt",1,24,177.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.readOrder:gc.time","thrpt",1,24,119.000000,NaN,"ms"
"lab.jvm.serialization.SerializationBench.readPoint","thrpt",1,24,231155.914584,74367.265440,"ops/s"
"lab.jvm.serialization.SerializationBench.readPoint:gc.alloc.rate","thrpt",1,24,763.645771,246.529734,"MB/sec"
"lab.jvm.serialization.SerializationBench.readPoint:gc.alloc.rate.norm","thrpt",1,24,3464.016575,8.887869,"B/op"
"lab.jvm.serialization.SerializationBench.readPoint:gc.count","thrpt",1,24,180.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.readPoint:gc.time","thrpt",1,24,155.000000,NaN,"ms"
"lab.jvm.serialization.SerializationBench.readStringList","thrpt",1,24,53031.431674,17870.217348,"ops/s"
"lab.jvm.serialization.SerializationBench.readStringList:gc.alloc.rate","thrpt",1,24,895.490087,301.531094,"MB/sec"
"lab.jvm.serialization.SerializationBench.readStringList:gc.alloc.rate.norm","thrpt",1,24,17712.078557,8.903034,"B/op"
"lab.jvm.serialization.SerializationBench.readStringList:gc.count","thrpt",1,24,256.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.readStringList:gc.time","thrpt",1,24,169.000000,NaN,"ms"
"lab.jvm.serialization.SerializationBench.writeAnalytics","thrpt",1,24,15790.120527,3915.851349,"ops/s"
"lab.jvm.serialization.SerializationBench.writeAnalytics:gc.alloc.rate","thrpt",1,24,1361.197281,337.614628,"MB/sec"
"lab.jvm.serialization.SerializationBench.writeAnalytics:gc.alloc.rate.norm","thrpt",1,24,90408.241105,0.047168,"B/op"
"lab.jvm.serialization.SerializationBench.writeAnalytics:gc.count","thrpt",1,24,304.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.writeAnalytics:gc.time","thrpt",1,24,226.000000,NaN,"ms"
"lab.jvm.serialization.SerializationBench.writeCustomer","thrpt",1,24,1407166.173964,489798.906604,"ops/s"
"lab.jvm.serialization.SerializationBench.writeCustomer:gc.alloc.rate","thrpt",1,24,3896.568160,1356.383649,"MB/sec"
"lab.jvm.serialization.SerializationBench.writeCustomer:gc.alloc.rate.norm","thrpt",1,24,2904.003087,0.001074,"B/op"
"lab.jvm.serialization.SerializationBench.writeCustomer:gc.count","thrpt",1,24,583.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.writeCustomer:gc.time","thrpt",1,24,503.000000,NaN,"ms"
"lab.jvm.serialization.SerializationBench.writeOrder","thrpt",1,24,358376.484393,96183.820745,"ops/s"
"lab.jvm.serialization.SerializationBench.writeOrder:gc.alloc.rate","thrpt",1,24,2815.863455,755.790313,"MB/sec"
"lab.jvm.serialization.SerializationBench.writeOrder:gc.alloc.rate.norm","thrpt",1,24,8240.011515,0.003977,"B/op"
"lab.jvm.serialization.SerializationBench.writeOrder:gc.count","thrpt",1,24,518.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.writeOrder:gc.time","thrpt",1,24,378.000000,NaN,"ms"
"lab.jvm.serialization.SerializationBench.writePoint","thrpt",1,24,1490775.129779,52343.508156,"ops/s"
"lab.jvm.serialization.SerializationBench.writePoint:gc.alloc.rate","thrpt",1,24,3889.033179,136.583421,"MB/sec"
"lab.jvm.serialization.SerializationBench.writePoint:gc.alloc.rate.norm","thrpt",1,24,2736.002352,0.000088,"B/op"
"lab.jvm.serialization.SerializationBench.writePoint:gc.count","thrpt",1,24,531.000000,NaN,"counts"
