"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"lab.jvm.serialization.SerializationBench.readAnalytics","thrpt",1,24,7812.554797,3010.570607,"ops/s"
"lab.jvm.serialization.SerializationBench.readAnalytics:gc.alloc.rate","thrpt",1,24,963.326756,371.244854,"MB/sec"
"lab.jvm.serialization.SerializationBench.readAnalytics:gc.alloc.rate.norm","thrpt",1,24,129312.584379,0.218768,"B/op"
"lab.jvm.serialization.SerializationBench.readAnalytics:gc.count","thrpt",1,24,259.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.readAnalytics:gc.time","thrpt",1,24,179.000000,NaN,"ms"
"lab.jvm.serialization.SerializationBench.readConfigMap","thrpt",1,24,66162.129591,9425.382058,"ops/s"
"lab.jvm.serialization.SerializationBench.readConfigMap:gc.alloc.rate","thrpt",1,24,891.337556,126.981117,"MB/sec"
"lab.jvm.serialization.SerializationBench.readConfigMap:gc.alloc.rate.norm","thrpt",1,24,14128.056462,0.014577,"B/op"
"lab.jvm.serialization.SerializationBench.readConfigMap:gc.count","thrpt",1,24,289.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.readConfigMap:gc.time","thrpt",1,24,148.000000,NaN,"ms"
"lab.jvm.serialization.SerializationBench.readCustomer","thrpt",1,24,321387.225485,74871.688682,"ops/s"
"lab.jvm.serialization.SerializationBench.readCustomer:gc.alloc.rate","thrpt",1,24,1532.297462,357.006437,"MB/sec"
"lab.jvm.serialization.SerializationBench.readCustomer:gc.alloc.rate.norm","thrpt",1,24,5000.013340,0.006535,"B/op"
"lab.jvm.serialization.SerializationBench.readCustomer:gc.count","thrpt",1,24,410.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.readCustomer:gc.time","thrpt",1,24,232.000000,NaN,"ms"
"lab.jvm.serialization.SerializationBench.readDerived","thrpt",1,24,121898.298369,6824.163573,"ops/s"
"lab.jvm.serialization.SerializationBench.readDerived:gc.alloc.rate","thrpt",1,24,514.202213,28.785226,"MB/sec"
"lab.jvm.serialization.SerializationBench.readDerived:gc.alloc.rate.norm","thrpt",1,24,4424.028903,0.001655,"B/op"
"lab.jvm.serialization.SerializationBench.readDerived:gc.count","thrpt",1,24,158.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.readDerived:gc.time","thrpt",1,24,128.000000,NaN,"ms"
"lab.jvm.serialization.SerializationBench.readEnumHolder","thrpt",1,24,136619.322751,45890.069536,"ops/s"
"lab.jvm.serialization.SerializationBench.readEnumHolder:gc.alloc.rate","thrpt",1,24,573.761862,191.545199,"MB/sec"
"lab.jvm.serialization.SerializationBench.readEnumHolder:gc.alloc.rate.norm","thrpt",1,24,4408.028967,8.892887,"B/op"
"lab.jvm.serialization.SerializationBench.readEnumHolder:gc.count","thrpt",1,24,186.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.readEnumHolder:gc.time","thrpt",1,24,118.000000,NaN,"ms"
"lab.jvm.serialization.SerializationBench.readGraph","thrpt",1,24,80917.591112,10329.346420,"ops/s"
"lab.jvm.serialization.SerializationBench.readGraph:gc.alloc.rate","thrpt",1,24,458.603484,58.541574,"MB/sec"
"lab.jvm.serialization.SerializationBench.readGraph:gc.alloc.rate.norm","thrpt",1,24,5944.044390,0.005471,"B/op"
