"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"lab.jvm.serialization.SerializationBench.readAnalytics","thrpt",8,10,56185.487368,16543.712462,"ops/s"
"lab.jvm.serialization.SerializationBench.readAnalytics:gc.alloc.rate","thrpt",8,10,6915.630301,2059.786417,"MB/sec"
"lab.jvm.serialization.SerializationBench.readAnalytics:gc.alloc.rate.norm","thrpt",8,10,129324.224576,19.063756,"B/op"
"lab.jvm.serialization.SerializationBench.readAnalytics:gc.count","thrpt",8,10,186.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.readAnalytics:gc.time","thrpt",8,10,167.000000,NaN,"ms"
"lab.jvm.serialization.SerializationBench.readConfigMap","thrpt",8,10,181191.315121,13987.337526,"ops/s"
"lab.jvm.serialization.SerializationBench.readConfigMap:gc.alloc.rate","thrpt",8,10,2430.415276,183.938391,"MB/sec"
"lab.jvm.serialization.SerializationBench.readConfigMap:gc.alloc.rate.norm","thrpt",8,10,14104.067498,0.004909,"B/op"
"lab.jvm.serialization.SerializationBench.readConfigMap:gc.count","thrpt",8,10,87.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.readConfigMap:gc.time","thrpt",8,10,84.000000,NaN,"ms"
"lab.jvm.serialization.SerializationBench.readCustomer","thrpt",8,10,1245597.637051,640336.415351,"ops/s"
"lab.jvm.serialization.SerializationBench.readCustomer:gc.alloc.rate","thrpt",8,10,5932.003746,3047.468958,"MB/sec"
"lab.jvm.serialization.SerializationBench.readCustomer:gc.alloc.rate.norm","thrpt",8,10,5000.011086,0.005667,"B/op"
"lab.jvm.serialization.SerializationBench.readCustomer:gc.count","thrpt",8,10,167.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.readCustomer:gc.time","thrpt",8,10,150.000000,NaN,"ms"
"lab.jvm.serialization.SerializationBench.readGraph","thrpt",8,10,630910.927835,40005.691270,"ops/s"
"lab.jvm.serialization.SerializationBench.readGraph:gc.alloc.rate","thrpt",8,10,3596.165386,226.358956,"MB/sec"
"lab.jvm.serialization.SerializationBench.readGraph:gc.alloc.rate.norm","thrpt",8,10,5992.019477,0.001234,"B/op"
"lab.jvm.serialization.SerializationBench.readGraph:gc.count","thrpt",8,10,114.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.readGraph:gc.time","thrpt",8,10,121.000000,NaN,"ms"
"lab.jvm.serialization.SerializationBench.readOrder","thrpt",8,10,287406.887760,20703.940659,"ops/s"
"lab.jvm.serialization.SerializationBench.readOrder:gc.alloc.rate","thrpt",8,10,3061.946634,198.426734,"MB/sec"
"lab.jvm.serialization.SerializationBench.readOrder:gc.alloc.rate.norm","thrpt",8,10,11212.042852,19.124833,"B/op"
"lab.jvm.serialization.SerializationBench.readOrder:gc.count","thrpt",8,10,106.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.readOrder:gc.time","thrpt",8,10,97.000000,NaN,"ms"
"lab.jvm.serialization.SerializationBench.readUnicodeList","thrpt",8,10,403891.032048,15679.241565,"ops/s"
"lab.jvm.serialization.SerializationBench.readUnicodeList:gc.alloc.rate","thrpt",8,10,6345.113327,249.255600,"MB/sec"
"lab.jvm.serialization.SerializationBench.readUnicodeList:gc.alloc.rate.norm","thrpt",8,10,16512.055351,0.019120,"B/op"
"lab.jvm.serialization.SerializationBench.readUnicodeList:gc.count","thrpt",8,10,153.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.readUnicodeList:gc.time","thrpt",8,10,157.000000,NaN,"ms"
"lab.jvm.serialization.SerializationBench.writeAnalytics","thrpt",8,10,85185.204758,4131.673773,"ops/s"
"lab.jvm.serialization.SerializationBench.writeAnalytics:gc.alloc.rate","thrpt",8,10,7336.183010,355.505686,"MB/sec"
"lab.jvm.serialization.SerializationBench.writeAnalytics:gc.alloc.rate.norm","thrpt",8,10,90408.143440,0.007410,"B/op"
"lab.jvm.serialization.SerializationBench.writeAnalytics:gc.count","thrpt",8,10,136.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.writeAnalytics:gc.time","thrpt",8,10,152.000000,NaN,"ms"
"lab.jvm.serialization.SerializationBench.writeConfigMap","thrpt",8,10,1361033.152227,23302.664290,"ops/s"
"lab.jvm.serialization.SerializationBench.writeConfigMap:gc.alloc.rate","thrpt",8,10,10445.448993,178.138691,"MB/sec"
"lab.jvm.serialization.SerializationBench.writeConfigMap:gc.alloc.rate.norm","thrpt",8,10,8056.009016,0.000285,"B/op"
"lab.jvm.serialization.SerializationBench.writeConfigMap:gc.count","thrpt",8,10,177.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.writeConfigMap:gc.time","thrpt",8,10,199.000000,NaN,"ms"
"lab.jvm.serialization.SerializationBench.writeCustomer","thrpt",8,10,5610565.706479,699178.192176,"ops/s"
"lab.jvm.serialization.SerializationBench.writeCustomer:gc.alloc.rate","thrpt",8,10,15504.004856,1947.569246,"MB/sec"
