"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"lab.jvm.serialization.SerializationBench.readAnalytics","thrpt",8,10,66048.009531,5077.548279,"ops/s"
"lab.jvm.serialization.SerializationBench.readAnalytics:gc.alloc.rate","thrpt",8,10,6573.572773,505.927581,"MB/sec"
"lab.jvm.serialization.SerializationBench.readAnalytics:gc.alloc.rate.norm","thrpt",8,10,104456.186838,0.014628,"B/op"
"lab.jvm.serialization.SerializationBench.readAnalytics:gc.count","thrpt",8,10,200.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.readAnalytics:gc.time","thrpt",8,10,152.000000,NaN,"ms"
"lab.jvm.serialization.SerializationBench.readConfigMap","thrpt",8,10,373866.469184,12022.487195,"ops/s"
"lab.jvm.serialization.SerializationBench.readConfigMap:gc.alloc.rate","thrpt",8,10,4641.265134,148.733598,"MB/sec"
"lab.jvm.serialization.SerializationBench.readConfigMap:gc.alloc.rate.norm","thrpt",8,10,13032.033400,0.001452,"B/op"
"lab.jvm.serialization.SerializationBench.readConfigMap:gc.count","thrpt",8,10,168.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.readConfigMap:gc.time","thrpt",8,10,109.000000,NaN,"ms"
"lab.jvm.serialization.SerializationBench.readCustomer","thrpt",8,10,1871615.678122,47751.070672,"ops/s"
"lab.jvm.serialization.SerializationBench.readCustomer:gc.alloc.rate","thrpt",8,10,8346.004160,216.771676,"MB/sec"
"lab.jvm.serialization.SerializationBench.readCustomer:gc.alloc.rate.norm","thrpt",8,10,4680.006649,0.000201,"B/op"
"lab.jvm.serialization.SerializationBench.readCustomer:gc.count","thrpt",8,10,221.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.readCustomer:gc.time","thrpt",8,10,164.000000,NaN,"ms"
"lab.jvm.serialization.SerializationBench.readGraph","thrpt",8,10,1187126.379997,24153.745341,"ops/s"
"lab.jvm.serialization.SerializationBench.readGraph:gc.alloc.rate","thrpt",8,10,6442.369218,126.315385,"MB/sec"
"lab.jvm.serialization.SerializationBench.readGraph:gc.alloc.rate.norm","thrpt",8,10,5696.010442,0.000248,"B/op"
"lab.jvm.serialization.SerializationBench.readGraph:gc.count","thrpt",8,10,205.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.readGraph:gc.time","thrpt",8,10,137.000000,NaN,"ms"
"lab.jvm.serialization.SerializationBench.readOrder","thrpt",8,10,534440.100310,9467.280400,"ops/s"
"lab.jvm.serialization.SerializationBench.readOrder:gc.alloc.rate","thrpt",8,10,5245.429620,93.254853,"MB/sec"
"lab.jvm.serialization.SerializationBench.readOrder:gc.alloc.rate.norm","thrpt",8,10,10304.023418,0.000723,"B/op"
"lab.jvm.serialization.SerializationBench.readOrder:gc.count","thrpt",8,10,183.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.readOrder:gc.time","thrpt",8,10,125.000000,NaN,"ms"
"lab.jvm.serialization.SerializationBench.readUnicodeList","thrpt",8,10,643948.348501,12355.362020,"ops/s"
"lab.jvm.serialization.SerializationBench.readUnicodeList:gc.alloc.rate","thrpt",8,10,7018.497895,131.304789,"MB/sec"
"lab.jvm.serialization.SerializationBench.readUnicodeList:gc.alloc.rate.norm","thrpt",8,10,11440.019265,0.000419,"B/op"
"lab.jvm.serialization.SerializationBench.readUnicodeList:gc.count","thrpt",8,10,202.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.readUnicodeList:gc.time","thrpt",8,10,142.000000,NaN,"ms"
"lab.jvm.serialization.SerializationBench.writeAnalytics","thrpt",8,10,156561.953976,2912.174057,"ops/s"
"lab.jvm.serialization.SerializationBench.writeAnalytics:gc.alloc.rate","thrpt",8,10,13485.838091,251.903999,"MB/sec"
"lab.jvm.serialization.SerializationBench.writeAnalytics:gc.alloc.rate.norm","thrpt",8,10,90408.079332,0.001983,"B/op"
"lab.jvm.serialization.SerializationBench.writeAnalytics:gc.count","thrpt",8,10,251.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.writeAnalytics:gc.time","thrpt",8,10,208.000000,NaN,"ms"
"lab.jvm.serialization.SerializationBench.writeConfigMap","thrpt",8,10,2254577.304626,26726.587388,"ops/s"
"lab.jvm.serialization.SerializationBench.writeConfigMap:gc.alloc.rate","thrpt",8,10,17302.833353,220.988475,"MB/sec"
"lab.jvm.serialization.SerializationBench.writeConfigMap:gc.alloc.rate.norm","thrpt",8,10,8056.005527,0.000129,"B/op"
"lab.jvm.serialization.SerializationBench.writeConfigMap:gc.count","thrpt",8,10,284.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.writeConfigMap:gc.time","thrpt",8,10,244.000000,NaN,"ms"
"lab.jvm.serialization.SerializationBench.writeCustomer","thrpt",8,10,7769256.790763,198095.447166,"ops/s"
"lab.jvm.serialization.SerializationBench.writeCustomer:gc.alloc.rate","thrpt",8,10,21489.797630,552.514342,"MB/sec"
"lab.jvm.serialization.SerializationBench.writeCustomer:gc.alloc.rate.norm","thrpt",8,10,2904.001603,0.000049,"B/op"
"lab.jvm.serialization.SerializationBench.writeCustomer:gc.count","thrpt",8,10,331.000000,NaN,"counts"
"lab.jvm.serialization.SerializationBench.writeCustomer:gc.time","thrpt",8,10,294.000000,NaN,"ms"
"lab.jvm.serialization.SerializationBench.writeGraph","thrpt",8,10,4736572.098263,218064.329086,"ops/s"
