"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: K"
"lab.jvm.serialization.KSweepBench.readKAnalytics","thrpt",1,12,11522.093055,212.855626,"ops/s",1
"lab.jvm.serialization.KSweepBench.readKAnalytics:gc.alloc.rate","thrpt",1,12,1147.271230,21.239122,"MB/sec",1
"lab.jvm.serialization.KSweepBench.readKAnalytics:gc.alloc.rate.norm","thrpt",1,12,104432.612484,0.014141,"B/op",1
"lab.jvm.serialization.KSweepBench.readKAnalytics:gc.count","thrpt",1,12,93.000000,NaN,"counts",1
"lab.jvm.serialization.KSweepBench.readKAnalytics:gc.time","thrpt",1,12,45.000000,NaN,"ms",1
"lab.jvm.serialization.KSweepBench.readKAnalytics","thrpt",1,12,546.480362,366.973185,"ops/s",16
"lab.jvm.serialization.KSweepBench.readKAnalytics:gc.alloc.rate","thrpt",1,12,830.744005,557.957285,"MB/sec",16
"lab.jvm.serialization.KSweepBench.readKAnalytics:gc.alloc.rate.norm","thrpt",1,12,1594477.685389,20.974301,"B/op",16
"lab.jvm.serialization.KSweepBench.readKAnalytics:gc.count","thrpt",1,12,56.000000,NaN,"counts",16
"lab.jvm.serialization.KSweepBench.readKAnalytics:gc.time","thrpt",1,12,58.000000,NaN,"ms",16
"lab.jvm.serialization.KSweepBench.readKAnalytics","thrpt",1,12,32.288750,3.487519,"ops/s",128
"lab.jvm.serialization.KSweepBench.readKAnalytics:gc.alloc.rate","thrpt",1,12,391.497991,42.276259,"MB/sec",128
"lab.jvm.serialization.KSweepBench.readKAnalytics:gc.alloc.rate.norm","thrpt",1,12,12718661.895924,20.749657,"B/op",128
"lab.jvm.serialization.KSweepBench.readKAnalytics:gc.count","thrpt",1,12,19.000000,NaN,"counts",128
"lab.jvm.serialization.KSweepBench.readKAnalytics:gc.time","thrpt",1,12,114.000000,NaN,"ms",128
"lab.jvm.serialization.KSweepBench.readKCustomer","thrpt",1,12,226013.283026,152183.910796,"ops/s",1
"lab.jvm.serialization.KSweepBench.readKCustomer:gc.alloc.rate","thrpt",1,12,1008.338305,678.982120,"MB/sec",1
"lab.jvm.serialization.KSweepBench.readKCustomer:gc.alloc.rate.norm","thrpt",1,12,4680.041371,0.027927,"B/op",1
"lab.jvm.serialization.KSweepBench.readKCustomer:gc.count","thrpt",1,12,67.000000,NaN,"counts",1
"lab.jvm.serialization.KSweepBench.readKCustomer:gc.time","thrpt",1,12,40.000000,NaN,"ms",1
"lab.jvm.serialization.KSweepBench.readKCustomer","thrpt",1,12,157181.410090,2833.896569,"ops/s",16
"lab.jvm.serialization.KSweepBench.readKCustomer:gc.alloc.rate","thrpt",1,12,1242.121138,22.440148,"MB/sec",16
"lab.jvm.serialization.KSweepBench.readKCustomer:gc.alloc.rate.norm","thrpt",1,12,8288.044816,0.000786,"B/op",16
"lab.jvm.serialization.KSweepBench.readKCustomer:gc.count","thrpt",1,12,84.000000,NaN,"counts",16
"lab.jvm.serialization.KSweepBench.readKCustomer:gc.time","thrpt",1,12,44.000000,NaN,"ms",16
"lab.jvm.serialization.KSweepBench.readKCustomer","thrpt",1,12,34192.135785,668.564278,"ops/s",128
"lab.jvm.serialization.KSweepBench.readKCustomer:gc.alloc.rate","thrpt",1,12,1184.099097,23.195399,"MB/sec",128
"lab.jvm.serialization.KSweepBench.readKCustomer:gc.alloc.rate.norm","thrpt",1,12,36320.205955,0.003942,"B/op",128
"lab.jvm.serialization.KSweepBench.readKCustomer:gc.count","thrpt",1,12,79.000000,NaN,"counts",128
"lab.jvm.serialization.KSweepBench.readKCustomer:gc.time","thrpt",1,12,40.000000,NaN,"ms",128
"lab.jvm.serialization.KSweepBench.readKOrder","thrpt",1,12,92614.223248,2758.519635,"ops/s",1
"lab.jvm.serialization.KSweepBench.readKOrder:gc.alloc.rate","thrpt",1,12,903.511720,26.891145,"MB/sec",1
