"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: K"
"lab.jvm.serialization.KSweepBench.readKAnalytics","thrpt",1,10,3916.081504,888.345726,"ops/s",1
"lab.jvm.serialization.KSweepBench.readKAnalytics:gc.alloc.rate","thrpt",1,10,482.737567,109.528258,"MB/sec",1
"lab.jvm.serialization.KSweepBench.readKAnalytics:gc.alloc.rate.norm","thrpt",1,10,129313.824802,0.382801,"B/op",1
"lab.jvm.serialization.KSweepBench.readKAnalytics:gc.count","thrpt",1,10,28.000000,NaN,"counts",1
"lab.jvm.serialization.KSweepBench.readKAnalytics:gc.time","thrpt",1,10,32.000000,NaN,"ms",1
"lab.jvm.serialization.KSweepBench.readKAnalytics","thrpt",1,10,488.760377,454.458642,"ops/s",16
"lab.jvm.serialization.KSweepBench.readKAnalytics:gc.alloc.rate","thrpt",1,10,926.365439,861.474620,"MB/sec",16
"lab.jvm.serialization.KSweepBench.readKAnalytics:gc.alloc.rate.norm","thrpt",1,10,1988003.694183,24.390555,"B/op",16
"lab.jvm.serialization.KSweepBench.readKAnalytics:gc.count","thrpt",1,10,44.000000,NaN,"counts",16
"lab.jvm.serialization.KSweepBench.readKAnalytics:gc.time","thrpt",1,10,47.000000,NaN,"ms",16
"lab.jvm.serialization.KSweepBench.readKAnalytics","thrpt",1,10,61.111708,52.696038,"ops/s",128
"lab.jvm.serialization.KSweepBench.readKAnalytics:gc.alloc.rate","thrpt",1,10,924.284587,797.222610,"MB/sec",128
"lab.jvm.serialization.KSweepBench.readKAnalytics:gc.alloc.rate.norm","thrpt",1,10,15864640.217381,137.284710,"B/op",128
"lab.jvm.serialization.KSweepBench.readKAnalytics:gc.count","thrpt",1,10,49.000000,NaN,"counts",128
"lab.jvm.serialization.KSweepBench.readKAnalytics:gc.time","thrpt",1,10,78.000000,NaN,"ms",128
"lab.jvm.serialization.KSweepBench.readKCustomer","thrpt",1,10,100863.991452,17643.501288,"ops/s",1
"lab.jvm.serialization.KSweepBench.readKCustomer:gc.alloc.rate","thrpt",1,10,479.673929,85.390244,"MB/sec",1
"lab.jvm.serialization.KSweepBench.readKCustomer:gc.alloc.rate.norm","thrpt",1,10,4988.070148,19.114775,"B/op",1
"lab.jvm.serialization.KSweepBench.readKCustomer:gc.count","thrpt",1,10,27.000000,NaN,"counts",1
"lab.jvm.serialization.KSweepBench.readKCustomer:gc.time","thrpt",1,10,31.000000,NaN,"ms",1
"lab.jvm.serialization.KSweepBench.readKCustomer","thrpt",1,10,84511.594288,54077.088906,"ops/s",16
"lab.jvm.serialization.KSweepBench.readKCustomer:gc.alloc.rate","thrpt",1,10,693.563088,443.861812,"MB/sec",16
"lab.jvm.serialization.KSweepBench.readKCustomer:gc.alloc.rate.norm","thrpt",1,10,8608.093240,0.043005,"B/op",16
"lab.jvm.serialization.KSweepBench.readKCustomer:gc.count","thrpt",1,10,35.000000,NaN,"counts",16
"lab.jvm.serialization.KSweepBench.readKCustomer:gc.time","thrpt",1,10,29.000000,NaN,"ms",16
"lab.jvm.serialization.KSweepBench.readKCustomer","thrpt",1,10,25583.244897,11956.479398,"ops/s",128
"lab.jvm.serialization.KSweepBench.readKCustomer:gc.alloc.rate","thrpt",1,10,893.510573,417.959970,"MB/sec",128
"lab.jvm.serialization.KSweepBench.readKCustomer:gc.alloc.rate.norm","thrpt",1,10,36628.305546,18.994738,"B/op",128
"lab.jvm.serialization.KSweepBench.readKCustomer:gc.count","thrpt",1,10,49.000000,NaN,"counts",128
"lab.jvm.serialization.KSweepBench.readKCustomer:gc.time","thrpt",1,10,32.000000,NaN,"ms",128
"lab.jvm.serialization.KSweepBench.readKOrder","thrpt",1,10,64196.487589,34875.156867,"ops/s",1
"lab.jvm.serialization.KSweepBench.readKOrder:gc.alloc.rate","thrpt",1,10,686.995847,373.242811,"MB/sec",1
"lab.jvm.serialization.KSweepBench.readKOrder:gc.alloc.rate.norm","thrpt",1,10,11224.123222,0.066861,"B/op",1
"lab.jvm.serialization.KSweepBench.readKOrder:gc.count","thrpt",1,10,47.000000,NaN,"counts",1
"lab.jvm.serialization.KSweepBench.readKOrder:gc.time","thrpt",1,10,32.000000,NaN,"ms",1
"lab.jvm.serialization.KSweepBench.readKOrder","thrpt",1,10,10340.311190,2342.290848,"ops/s",16
