"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"lab.jvm.serialization.StringCharsetBench.readAscii32","thrpt",1,10,39783.366779,4582.178633,"ops/s"
"lab.jvm.serialization.StringCharsetBench.readAscii32:gc.alloc.rate","thrpt",1,10,472.090792,54.195728,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.readAscii32:gc.alloc.rate.norm","thrpt",1,10,12448.178833,25.506153,"B/op"
"lab.jvm.serialization.StringCharsetBench.readAscii32:gc.count","thrpt",1,10,21.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.readAscii32:gc.time","thrpt",1,10,26.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.readAscii96","thrpt",1,10,31350.141429,7596.021738,"ops/s"
"lab.jvm.serialization.StringCharsetBench.readAscii96:gc.alloc.rate","thrpt",1,10,617.319671,149.583400,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.readAscii96:gc.alloc.rate.norm","thrpt",1,10,20656.230871,0.060329,"B/op"
"lab.jvm.serialization.StringCharsetBench.readAscii96:gc.count","thrpt",1,10,24.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.readAscii96:gc.time","thrpt",1,10,31.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.readCjk32","thrpt",1,10,22701.685223,5199.116652,"ops/s"
"lab.jvm.serialization.StringCharsetBench.readCjk32:gc.alloc.rate","thrpt",1,10,708.948975,169.025697,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.readCjk32:gc.alloc.rate.norm","thrpt",1,10,32736.313768,1262.140264,"B/op"
"lab.jvm.serialization.StringCharsetBench.readCjk32:gc.count","thrpt",1,10,27.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.readCjk32:gc.time","thrpt",1,10,39.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.readEmoji16","thrpt",1,10,26251.169464,6319.076500,"ops/s"
"lab.jvm.serialization.StringCharsetBench.readEmoji16:gc.alloc.rate","thrpt",1,10,838.243654,201.936652,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.readEmoji16:gc.alloc.rate.norm","thrpt",1,10,33504.275363,0.064436,"B/op"
"lab.jvm.serialization.StringCharsetBench.readEmoji16:gc.count","thrpt",1,10,32.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.readEmoji16:gc.time","thrpt",1,10,40.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.writeAscii32","thrpt",1,10,83612.802384,18439.450834,"ops/s"
"lab.jvm.serialization.StringCharsetBench.writeAscii32:gc.alloc.rate","thrpt",1,10,1154.616501,254.595727,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.writeAscii32:gc.alloc.rate.norm","thrpt",1,10,14488.085144,0.015817,"B/op"
"lab.jvm.serialization.StringCharsetBench.writeAscii32:gc.count","thrpt",1,10,38.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.writeAscii32:gc.time","thrpt",1,10,51.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.writeAscii96","thrpt",1,10,74982.882960,16568.932282,"ops/s"
"lab.jvm.serialization.StringCharsetBench.writeAscii96:gc.alloc.rate","thrpt",1,10,1328.291966,293.722288,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.writeAscii96:gc.alloc.rate.norm","thrpt",1,10,18584.094609,0.016656,"B/op"
"lab.jvm.serialization.StringCharsetBench.writeAscii96:gc.count","thrpt",1,10,42.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.writeAscii96:gc.time","thrpt",1,10,51.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.writeCjk32","thrpt",1,10,38538.409134,6213.057118,"ops/s"
"lab.jvm.serialization.StringCharsetBench.writeCjk32:gc.alloc.rate","thrpt",1,10,682.725173,110.021671,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.writeCjk32:gc.alloc.rate.norm","thrpt",1,10,18584.183430,0.030712,"B/op"
"lab.jvm.serialization.StringCharsetBench.writeCjk32:gc.count","thrpt",1,10,26.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.writeCjk32:gc.time","thrpt",1,10,35.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.writeEmoji16","thrpt",1,10,39892.858571,7747.405384,"ops/s"
"lab.jvm.serialization.StringCharsetBench.writeEmoji16:gc.alloc.rate","thrpt",1,10,706.727169,137.233589,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.writeEmoji16:gc.alloc.rate.norm","thrpt",1,10,18584.178677,0.024490,"B/op"
"lab.jvm.serialization.StringCharsetBench.writeEmoji16:gc.count","thrpt",1,10,27.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.writeEmoji16:gc.time","thrpt",1,10,32.000000,NaN,"ms"
