"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"lab.jvm.serialization.StringCharsetBench.readAscii32","thrpt",1,10,119939.551422,4042.035221,"ops/s"
"lab.jvm.serialization.StringCharsetBench.readAscii32:gc.alloc.rate","thrpt",1,10,1425.282388,48.032773,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.readAscii32:gc.alloc.rate.norm","thrpt",1,10,12464.058676,0.001963,"B/op"
"lab.jvm.serialization.StringCharsetBench.readAscii32:gc.count","thrpt",1,10,66.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.readAscii32:gc.time","thrpt",1,10,36.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.readAscii96","thrpt",1,10,73748.010817,35769.826026,"ops/s"
"lab.jvm.serialization.StringCharsetBench.readAscii96:gc.alloc.rate","thrpt",1,10,1454.147158,705.374820,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.readAscii96:gc.alloc.rate.norm","thrpt",1,10,20680.109344,0.073669,"B/op"
"lab.jvm.serialization.StringCharsetBench.readAscii96:gc.count","thrpt",1,10,60.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.readAscii96:gc.time","thrpt",1,10,35.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.readCjk32","thrpt",1,10,33181.937450,4802.311871,"ops/s"
"lab.jvm.serialization.StringCharsetBench.readCjk32:gc.alloc.rate","thrpt",1,10,1033.661228,129.666149,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.readCjk32:gc.alloc.rate.norm","thrpt",1,10,32724.283685,1242.943808,"B/op"
"lab.jvm.serialization.StringCharsetBench.readCjk32:gc.count","thrpt",1,10,39.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.readCjk32:gc.time","thrpt",1,10,36.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.readEmoji16","thrpt",1,10,24088.572253,6140.263495,"ops/s"
"lab.jvm.serialization.StringCharsetBench.readEmoji16:gc.alloc.rate","thrpt",1,10,733.394554,186.349770,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.readEmoji16:gc.alloc.rate.norm","thrpt",1,10,31944.297436,38.303920,"B/op"
"lab.jvm.serialization.StringCharsetBench.readEmoji16:gc.count","thrpt",1,10,29.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.readEmoji16:gc.time","thrpt",1,10,38.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.writeAscii32","thrpt",1,10,105954.655901,94165.191713,"ops/s"
"lab.jvm.serialization.StringCharsetBench.writeAscii32:gc.alloc.rate","thrpt",1,10,1463.211956,1300.600805,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.writeAscii32:gc.alloc.rate.norm","thrpt",1,10,14488.078941,0.038854,"B/op"
"lab.jvm.serialization.StringCharsetBench.writeAscii32:gc.count","thrpt",1,10,49.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.writeAscii32:gc.time","thrpt",1,10,56.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.writeAscii96","thrpt",1,10,60277.893143,11285.852028,"ops/s"
"lab.jvm.serialization.StringCharsetBench.writeAscii96:gc.alloc.rate","thrpt",1,10,1067.779474,199.863744,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.writeAscii96:gc.alloc.rate.norm","thrpt",1,10,18584.117472,0.023711,"B/op"
"lab.jvm.serialization.StringCharsetBench.writeAscii96:gc.count","thrpt",1,10,34.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.writeAscii96:gc.time","thrpt",1,10,50.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.writeCjk32","thrpt",1,10,33605.263805,9595.955058,"ops/s"
"lab.jvm.serialization.StringCharsetBench.writeCjk32:gc.alloc.rate","thrpt",1,10,595.273172,169.994728,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.writeCjk32:gc.alloc.rate.norm","thrpt",1,10,18584.214175,0.057934,"B/op"
"lab.jvm.serialization.StringCharsetBench.writeCjk32:gc.count","thrpt",1,10,24.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.writeCjk32:gc.time","thrpt",1,10,29.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.writeEmoji16","thrpt",1,10,35700.159365,6678.964033,"ops/s"
"lab.jvm.serialization.StringCharsetBench.writeEmoji16:gc.alloc.rate","thrpt",1,10,632.403374,118.200551,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.writeEmoji16:gc.alloc.rate.norm","thrpt",1,10,18584.197987,0.036057,"B/op"
"lab.jvm.serialization.StringCharsetBench.writeEmoji16:gc.count","thrpt",1,10,24.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.writeEmoji16:gc.time","thrpt",1,10,33.000000,NaN,"ms"
