"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"lab.jvm.serialization.StringCharsetBench.readAscii1020","thrpt",1,10,1099451.684127,23839.760508,"ops/s"
"lab.jvm.serialization.StringCharsetBench.readAscii1020:gc.alloc.rate","thrpt",1,10,4327.401523,93.897214,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.readAscii1020:gc.alloc.rate.norm","thrpt",1,10,4128.006385,0.000142,"B/op"
"lab.jvm.serialization.StringCharsetBench.readAscii1020:gc.count","thrpt",1,10,162.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.readAscii1020:gc.time","thrpt",1,10,97.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.readAscii1030","thrpt",1,10,1059840.947025,36699.614282,"ops/s"
"lab.jvm.serialization.StringCharsetBench.readAscii1030:gc.alloc.rate","thrpt",1,10,4187.615573,145.096583,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.readAscii1030:gc.alloc.rate.norm","thrpt",1,10,4144.006623,0.000227,"B/op"
"lab.jvm.serialization.StringCharsetBench.readAscii1030:gc.count","thrpt",1,10,159.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.readAscii1030:gc.time","thrpt",1,10,95.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.readAscii32","thrpt",1,10,122170.479235,4214.470053,"ops/s"
"lab.jvm.serialization.StringCharsetBench.readAscii32:gc.alloc.rate","thrpt",1,10,1456.097824,50.524080,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.readAscii32:gc.alloc.rate.norm","thrpt",1,10,12500.057617,19.123506,"B/op"
"lab.jvm.serialization.StringCharsetBench.readAscii32:gc.count","thrpt",1,10,98.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.readAscii32:gc.time","thrpt",1,10,48.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.readAscii4096","thrpt",1,10,307943.437780,5359.751130,"ops/s"
"lab.jvm.serialization.StringCharsetBench.readAscii4096:gc.alloc.rate","thrpt",1,10,3015.953810,52.449949,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.readAscii4096:gc.alloc.rate.norm","thrpt",1,10,10272.022822,0.000405,"B/op"
"lab.jvm.serialization.StringCharsetBench.readAscii4096:gc.count","thrpt",1,10,127.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.readAscii4096:gc.time","thrpt",1,10,72.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.readAscii96","thrpt",1,10,93360.566941,4953.266035,"ops/s"
"lab.jvm.serialization.StringCharsetBench.readAscii96:gc.alloc.rate","thrpt",1,10,1839.747520,97.756404,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.readAscii96:gc.alloc.rate.norm","thrpt",1,10,20668.075574,19.123350,"B/op"
"lab.jvm.serialization.StringCharsetBench.readAscii96:gc.count","thrpt",1,10,102.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.readAscii96:gc.time","thrpt",1,10,57.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.readCjk32","thrpt",1,10,76650.952358,1698.500664,"ops/s"
"lab.jvm.serialization.StringCharsetBench.readCjk32:gc.alloc.rate","thrpt",1,10,2393.719389,124.923796,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.readCjk32:gc.alloc.rate.norm","thrpt",1,10,32748.091812,1281.283718,"B/op"
"lab.jvm.serialization.StringCharsetBench.readCjk32:gc.count","thrpt",1,10,109.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.readCjk32:gc.time","thrpt",1,10,58.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.readCjk350","thrpt",1,10,838135.947402,38431.705664,"ops/s"
"lab.jvm.serialization.StringCharsetBench.readCjk350:gc.alloc.rate","thrpt",1,10,4772.642800,230.987579,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.readCjk350:gc.alloc.rate.norm","thrpt",1,10,5972.008384,19.123355,"B/op"
"lab.jvm.serialization.StringCharsetBench.readCjk350:gc.count","thrpt",1,10,175.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.readCjk350:gc.time","thrpt",1,10,104.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.readEmoji16","thrpt",1,10,76431.298398,2489.885586,"ops/s"
"lab.jvm.serialization.StringCharsetBench.readEmoji16:gc.alloc.rate","thrpt",1,10,2328.827556,76.009371,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.readEmoji16:gc.alloc.rate.norm","thrpt",1,10,31956.092229,19.123751,"B/op"
"lab.jvm.serialization.StringCharsetBench.readEmoji16:gc.count","thrpt",1,10,107.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.readEmoji16:gc.time","thrpt",1,10,59.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.readNul32","thrpt",1,10,100130.367952,3365.282965,"ops/s"
"lab.jvm.serialization.StringCharsetBench.readNul32:gc.alloc.rate","thrpt",1,10,1239.621073,42.244674,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.readNul32:gc.alloc.rate.norm","thrpt",1,10,12984.070288,12.747961,"B/op"
"lab.jvm.serialization.StringCharsetBench.readNul32:gc.count","thrpt",1,10,84.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.readNul32:gc.time","thrpt",1,10,43.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.writeAscii1020","thrpt",1,10,1028284.646100,13789.940607,"ops/s"
"lab.jvm.serialization.StringCharsetBench.writeAscii1020:gc.alloc.rate","thrpt",1,10,11317.963618,151.848193,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.writeAscii1020:gc.alloc.rate.norm","thrpt",1,10,11544.006825,0.000092,"B/op"
"lab.jvm.serialization.StringCharsetBench.writeAscii1020:gc.count","thrpt",1,10,257.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.writeAscii1020:gc.time","thrpt",1,10,195.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.writeAscii1030","thrpt",1,10,1005935.912769,22210.831863,"ops/s"
"lab.jvm.serialization.StringCharsetBench.writeAscii1030:gc.alloc.rate","thrpt",1,10,11079.877243,244.765803,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.writeAscii1030:gc.alloc.rate.norm","thrpt",1,10,11552.006979,0.000158,"B/op"
"lab.jvm.serialization.StringCharsetBench.writeAscii1030:gc.count","thrpt",1,10,255.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.writeAscii1030:gc.time","thrpt",1,10,185.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.writeAscii32","thrpt",1,10,263368.526736,6117.307859,"ops/s"
"lab.jvm.serialization.StringCharsetBench.writeAscii32:gc.alloc.rate","thrpt",1,10,3638.147304,84.515046,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.writeAscii32:gc.alloc.rate.norm","thrpt",1,10,14488.026652,0.000620,"B/op"
"lab.jvm.serialization.StringCharsetBench.writeAscii32:gc.count","thrpt",1,10,140.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.writeAscii32:gc.time","thrpt",1,10,79.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.writeAscii4096","thrpt",1,10,570572.024218,7769.560740,"ops/s"
"lab.jvm.serialization.StringCharsetBench.writeAscii4096:gc.alloc.rate","thrpt",1,10,7951.521774,108.434063,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.writeAscii4096:gc.alloc.rate.norm","thrpt",1,10,14616.012313,0.000187,"B/op"
"lab.jvm.serialization.StringCharsetBench.writeAscii4096:gc.count","thrpt",1,10,227.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.writeAscii4096:gc.time","thrpt",1,10,145.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.writeAscii96","thrpt",1,10,210054.846688,5416.585116,"ops/s"
"lab.jvm.serialization.StringCharsetBench.writeAscii96:gc.alloc.rate","thrpt",1,10,3722.057373,96.052093,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.writeAscii96:gc.alloc.rate.norm","thrpt",1,10,18584.033493,0.000867,"B/op"
"lab.jvm.serialization.StringCharsetBench.writeAscii96:gc.count","thrpt",1,10,143.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.writeAscii96:gc.time","thrpt",1,10,82.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.writeCjk32","thrpt",1,10,112000.927993,2942.207707,"ops/s"
"lab.jvm.serialization.StringCharsetBench.writeCjk32:gc.alloc.rate","thrpt",1,10,1984.639380,52.114066,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.writeCjk32:gc.alloc.rate.norm","thrpt",1,10,18584.062817,0.001745,"B/op"
"lab.jvm.serialization.StringCharsetBench.writeCjk32:gc.count","thrpt",1,10,111.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.writeCjk32:gc.time","thrpt",1,10,57.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.writeCjk350","thrpt",1,10,595683.875881,13076.928968,"ops/s"
"lab.jvm.serialization.StringCharsetBench.writeCjk350:gc.alloc.rate","thrpt",1,10,6574.845341,144.416916,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.writeCjk350:gc.alloc.rate.norm","thrpt",1,10,11576.011781,0.000261,"B/op"
"lab.jvm.serialization.StringCharsetBench.writeCjk350:gc.count","thrpt",1,10,212.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.writeCjk350:gc.time","thrpt",1,10,130.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.writeEmoji16","thrpt",1,10,111455.024093,3063.532791,"ops/s"
"lab.jvm.serialization.StringCharsetBench.writeEmoji16:gc.alloc.rate","thrpt",1,10,1974.927232,54.263031,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.writeEmoji16:gc.alloc.rate.norm","thrpt",1,10,18584.063196,0.001733,"B/op"
"lab.jvm.serialization.StringCharsetBench.writeEmoji16:gc.count","thrpt",1,10,101.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.writeEmoji16:gc.time","thrpt",1,10,53.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.writeNul32","thrpt",1,10,157675.467874,6361.574811,"ops/s"
"lab.jvm.serialization.StringCharsetBench.writeNul32:gc.alloc.rate","thrpt",1,10,2187.697509,88.265041,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.writeNul32:gc.alloc.rate.norm","thrpt",1,10,14552.044626,0.001788,"B/op"
"lab.jvm.serialization.StringCharsetBench.writeNul32:gc.count","thrpt",1,10,101.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.writeNul32:gc.time","thrpt",1,10,56.000000,NaN,"ms"
