"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"lab.jvm.serialization.StringCharsetBench.readAscii1020","thrpt",1,10,428460.975602,108709.946383,"ops/s"
"lab.jvm.serialization.StringCharsetBench.readAscii1020:gc.alloc.rate","thrpt",1,10,1685.771599,427.860123,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.readAscii1020:gc.alloc.rate.norm","thrpt",1,10,4128.016602,0.003625,"B/op"
"lab.jvm.serialization.StringCharsetBench.readAscii1020:gc.count","thrpt",1,10,63.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.readAscii1020:gc.time","thrpt",1,10,70.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.readAscii1030","thrpt",1,10,344606.292280,70339.566696,"ops/s"
"lab.jvm.serialization.StringCharsetBench.readAscii1030:gc.alloc.rate","thrpt",1,10,1360.987866,277.963545,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.readAscii1030:gc.alloc.rate.norm","thrpt",1,10,4144.020607,0.004933,"B/op"
"lab.jvm.serialization.StringCharsetBench.readAscii1030:gc.count","thrpt",1,10,51.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.readAscii1030:gc.time","thrpt",1,10,65.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.readAscii32","thrpt",1,10,31546.935067,3616.073127,"ops/s"
"lab.jvm.serialization.StringCharsetBench.readAscii32:gc.alloc.rate","thrpt",1,10,375.023111,42.491267,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.readAscii32:gc.alloc.rate.norm","thrpt",1,10,12472.222470,25.514089,"B/op"
"lab.jvm.serialization.StringCharsetBench.readAscii32:gc.count","thrpt",1,10,21.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.readAscii32:gc.time","thrpt",1,10,29.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.readAscii4096","thrpt",1,10,86583.045293,13619.471730,"ops/s"
"lab.jvm.serialization.StringCharsetBench.readAscii4096:gc.alloc.rate","thrpt",1,10,847.558700,133.403686,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.readAscii4096:gc.alloc.rate.norm","thrpt",1,10,10272.081313,0.012872,"B/op"
"lab.jvm.serialization.StringCharsetBench.readAscii4096:gc.count","thrpt",1,10,37.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.readAscii4096:gc.time","thrpt",1,10,54.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.readAscii96","thrpt",1,10,27603.139239,5822.436722,"ops/s"
"lab.jvm.serialization.StringCharsetBench.readAscii96:gc.alloc.rate","thrpt",1,10,544.775632,114.901425,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.readAscii96:gc.alloc.rate.norm","thrpt",1,10,20704.256868,0.054140,"B/op"
"lab.jvm.serialization.StringCharsetBench.readAscii96:gc.count","thrpt",1,10,30.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.readAscii96:gc.time","thrpt",1,10,41.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.readCjk32","thrpt",1,10,25742.632100,5409.196330,"ops/s"
"lab.jvm.serialization.StringCharsetBench.readCjk32:gc.alloc.rate","thrpt",1,10,784.446239,164.746031,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.readCjk32:gc.alloc.rate.norm","thrpt",1,10,31968.276397,0.061759,"B/op"
"lab.jvm.serialization.StringCharsetBench.readCjk32:gc.count","thrpt",1,10,36.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.readCjk32:gc.time","thrpt",1,10,40.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.readCjk350","thrpt",1,10,275082.962328,52474.601744,"ops/s"
"lab.jvm.serialization.StringCharsetBench.readCjk350:gc.alloc.rate","thrpt",1,10,1568.551794,298.662088,"MB/sec"
