"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"lab.jvm.serialization.StringCharsetBench.readAscii32","thrpt",1,12,38076.032234,2908.538389,"ops/s"
"lab.jvm.serialization.StringCharsetBench.readAscii32:gc.alloc.rate","thrpt",1,12,453.804068,34.718142,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.readAscii32:gc.alloc.rate.norm","thrpt",1,12,12500.092315,16.052889,"B/op"
"lab.jvm.serialization.StringCharsetBench.readAscii32:gc.count","thrpt",1,12,66.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.readAscii32:gc.time","thrpt",1,12,71.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.readAscii96","thrpt",1,12,30915.751481,3525.548795,"ops/s"
"lab.jvm.serialization.StringCharsetBench.readAscii96:gc.alloc.rate","thrpt",1,12,609.918684,69.617719,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.readAscii96:gc.alloc.rate.norm","thrpt",1,12,20692.114331,16.053507,"B/op"
"lab.jvm.serialization.StringCharsetBench.readAscii96:gc.count","thrpt",1,12,82.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.readAscii96:gc.time","thrpt",1,12,82.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.readCjk32","thrpt",1,12,34259.951473,16697.173546,"ops/s"
"lab.jvm.serialization.StringCharsetBench.readCjk32:gc.alloc.rate","thrpt",1,12,1043.467269,508.591067,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.readCjk32:gc.alloc.rate.norm","thrpt",1,12,31944.111293,0.033031,"B/op"
"lab.jvm.serialization.StringCharsetBench.readCjk32:gc.count","thrpt",1,12,116.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.readCjk32:gc.time","thrpt",1,12,102.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.readEmoji16","thrpt",1,12,27819.031523,3062.634539,"ops/s"
"lab.jvm.serialization.StringCharsetBench.readEmoji16:gc.alloc.rate","thrpt",1,12,847.271145,93.250482,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.readEmoji16:gc.alloc.rate.norm","thrpt",1,12,31944.126977,0.014236,"B/op"
"lab.jvm.serialization.StringCharsetBench.readEmoji16:gc.count","thrpt",1,12,93.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.readEmoji16:gc.time","thrpt",1,12,98.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.writeAscii32","thrpt",1,12,68438.654083,5274.905935,"ops/s"
"lab.jvm.serialization.StringCharsetBench.writeAscii32:gc.alloc.rate","thrpt",1,12,945.311180,72.875423,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.writeAscii32:gc.alloc.rate.norm","thrpt",1,12,14488.051247,0.003842,"B/op"
"lab.jvm.serialization.StringCharsetBench.writeAscii32:gc.count","thrpt",1,12,88.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.writeAscii32:gc.time","thrpt",1,12,124.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.writeAscii96","thrpt",1,12,65198.742104,10738.501332,"ops/s"
"lab.jvm.serialization.StringCharsetBench.writeAscii96:gc.alloc.rate","thrpt",1,12,1155.165281,190.226627,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.writeAscii96:gc.alloc.rate.norm","thrpt",1,12,18584.054430,0.008040,"B/op"
"lab.jvm.serialization.StringCharsetBench.writeAscii96:gc.count","thrpt",1,12,108.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.writeAscii96:gc.time","thrpt",1,12,126.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.writeCjk32","thrpt",1,12,37927.184874,6028.591777,"ops/s"
"lab.jvm.serialization.StringCharsetBench.writeCjk32:gc.alloc.rate","thrpt",1,12,672.038718,106.815118,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.writeCjk32:gc.alloc.rate.norm","thrpt",1,12,18584.093322,0.013283,"B/op"
"lab.jvm.serialization.StringCharsetBench.writeCjk32:gc.count","thrpt",1,12,83.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.writeCjk32:gc.time","thrpt",1,12,76.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.writeEmoji16","thrpt",1,12,33352.681931,4574.487688,"ops/s"
"lab.jvm.serialization.StringCharsetBench.writeEmoji16:gc.alloc.rate","thrpt",1,12,590.972241,81.032850,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.writeEmoji16:gc.alloc.rate.norm","thrpt",1,12,18584.106159,0.014469,"B/op"
"lab.jvm.serialization.StringCharsetBench.writeEmoji16:gc.count","thrpt",1,12,66.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.writeEmoji16:gc.time","thrpt",1,12,68.000000,NaN,"ms"
