"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"lab.jvm.serialization.StringCharsetBench.readAscii32","thrpt",1,12,120279.804503,2630.331033,"ops/s"
"lab.jvm.serialization.StringCharsetBench.readAscii32:gc.alloc.rate","thrpt",1,12,1433.678890,31.253103,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.readAscii32:gc.alloc.rate.norm","thrpt",1,12,12500.029268,16.053673,"B/op"
"lab.jvm.serialization.StringCharsetBench.readAscii32:gc.count","thrpt",1,12,232.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.readAscii32:gc.time","thrpt",1,12,111.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.readAscii96","thrpt",1,12,90633.123576,1511.613009,"ops/s"
"lab.jvm.serialization.StringCharsetBench.readAscii96:gc.alloc.rate","thrpt",1,12,1787.287562,29.820427,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.readAscii96:gc.alloc.rate.norm","thrpt",1,12,20680.038844,0.000652,"B/op"
"lab.jvm.serialization.StringCharsetBench.readAscii96:gc.count","thrpt",1,12,239.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.readAscii96:gc.time","thrpt",1,12,119.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.readCjk32","thrpt",1,12,75651.622082,1863.475142,"ops/s"
"lab.jvm.serialization.StringCharsetBench.readCjk32:gc.alloc.rate","thrpt",1,12,2304.414516,56.753965,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.readCjk32:gc.alloc.rate.norm","thrpt",1,12,31944.046572,0.001142,"B/op"
"lab.jvm.serialization.StringCharsetBench.readCjk32:gc.count","thrpt",1,12,254.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.readCjk32:gc.time","thrpt",1,12,134.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.readEmoji16","thrpt",1,12,75973.854855,1193.699465,"ops/s"
"lab.jvm.serialization.StringCharsetBench.readEmoji16:gc.alloc.rate","thrpt",1,12,2372.377778,80.113831,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.readEmoji16:gc.alloc.rate.norm","thrpt",1,12,32748.046380,1043.483764,"B/op"
"lab.jvm.serialization.StringCharsetBench.readEmoji16:gc.count","thrpt",1,12,261.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.readEmoji16:gc.time","thrpt",1,12,140.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.writeAscii32","thrpt",1,12,259942.253341,3742.084583,"ops/s"
"lab.jvm.serialization.StringCharsetBench.writeAscii32:gc.alloc.rate","thrpt",1,12,3591.187349,51.715867,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.writeAscii32:gc.alloc.rate.norm","thrpt",1,12,14488.013528,0.000200,"B/op"
"lab.jvm.serialization.StringCharsetBench.writeAscii32:gc.count","thrpt",1,12,331.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.writeAscii32:gc.time","thrpt",1,12,193.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.writeAscii96","thrpt",1,12,212047.610765,2353.182148,"ops/s"
"lab.jvm.serialization.StringCharsetBench.writeAscii96:gc.alloc.rate","thrpt",1,12,3757.701196,41.734663,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.writeAscii96:gc.alloc.rate.norm","thrpt",1,12,18584.016598,0.000186,"B/op"
"lab.jvm.serialization.StringCharsetBench.writeAscii96:gc.count","thrpt",1,12,348.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.writeAscii96:gc.time","thrpt",1,12,204.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.writeCjk32","thrpt",1,12,111212.621678,1659.711489,"ops/s"
"lab.jvm.serialization.StringCharsetBench.writeCjk32:gc.alloc.rate","thrpt",1,12,1970.810857,29.428963,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.writeCjk32:gc.alloc.rate.norm","thrpt",1,12,18584.031700,0.000482,"B/op"
"lab.jvm.serialization.StringCharsetBench.writeCjk32:gc.count","thrpt",1,12,265.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.writeCjk32:gc.time","thrpt",1,12,136.000000,NaN,"ms"
"lab.jvm.serialization.StringCharsetBench.writeEmoji16","thrpt",1,12,111733.743052,1671.467742,"ops/s"
"lab.jvm.serialization.StringCharsetBench.writeEmoji16:gc.alloc.rate","thrpt",1,12,1980.043106,29.602853,"MB/sec"
"lab.jvm.serialization.StringCharsetBench.writeEmoji16:gc.alloc.rate.norm","thrpt",1,12,18584.031480,0.000519,"B/op"
"lab.jvm.serialization.StringCharsetBench.writeEmoji16:gc.count","thrpt",1,12,266.000000,NaN,"counts"
"lab.jvm.serialization.StringCharsetBench.writeEmoji16:gc.time","thrpt",1,12,137.000000,NaN,"ms"
